"columns","QFR_industry_code","QFR_industry_title","standard_industry_code","year","standard_code_type"
"G","24","Lumber and Wood Products, except Furniture","2411 - 2499",1960,"SIC_1987"
"H","25","Furniture and Fixtures","2511 - 2599",1960,"SIC_1987"
"I","26","Paper and Allied Products","2611 - 2679",1960,"SIC_1987"
"J","27","Printing and Publishing, except newspapers","2721 - 2796",1960,"SIC_1987"
"K","28","Chemicals and Allied Products","2812 - 2899",1960,"SIC_1987"
"L","28.120000000000001","Basic Chemicals","2812 - 2819, 2823 - 2824, 2861 - 2869",1960,"SIC_1987"
"M","28.300000000000001","Drugs","2833 - 2836",1960,"SIC_1987"
"N","29","Petroleum Refining and related Industries","2911 - 2999",1960,"SIC_1987"
"O","291","Petroleum Refining","2911",1960,"SIC_1987"
"P","30","Rubber and Misc. Plastics Products","3011 - 3089",1960,"SIC_1987"
"Q","31","Leather and Leather Products","3111 - 3199",1960,"SIC_1987"
"R","32","Stone, Clay, and Glass Products","3211 - 3299",1960,"SIC_1987"
"S","33","Primary Metal Industries","3312 - 3399",1960,"SIC_1987"
"T","34","Other Fabricated Metal Products","3411 - 3499",1960,"SIC_1987"
"U","35","Other Machinery","3511 - 3599",1960,"SIC_1987"
"V","354","Metalworking Machinery and Equipment","3541 - 3549",1960,"SIC_1987"
"W","36","Electrical Machinery, Equipment, and Supplies","3612 - 3699",1960,"SIC_1987"
"X","37","Transportation Equipment","3711 - 3799",1960,"SIC_1987"
"Y","37.100000000000001","Motor Vehicles and Equipment","3711 - 3716",1960,"SIC_1987"
"Z","37.200000000000003","Aircraft and Parts","3721 - 3728, 3761 - 3769",1960,"SIC_1987"
"AA","38","Instruments and Related Products","3812 - 3873",1960,"SIC_1987"
"AB","39&19","Miscellaneous Manufacturing and Ordnance","3911 - 3999",1960,"SIC_1987"
"AC - AE","98","Nondurable Goods","2011 - 2399, 2611 - 3199",1960,"SIC_1987"
"AF - AH","99","Durable Goods","2411 - 2599, 3211 - 3999",1960,"SIC_1987"
"AI - AR","20.-39.","All Manufacturing","2011 - 3999",1960,"SIC_1987"
"AS","33.1-33.2","Primary Iron and Steel","3312 - 3325, 3398 - 3399",1960,"SIC_1987"
"AT","33.3-33.6","Primary Nonferrous Metals","3331 - 3369",1960,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1961,"SIC_1987"
"C","202","Dairy Products","2021 - 2026",1961,"SIC_1987"
"D","205","Bakery Products","2051 - 2053",1961,"SIC_1987"
"E","2082-5","Alcoholic beverages","2082 - 2085",1961,"SIC_1987"
"F","21","Tobacco Manufactures","2111 - 2141",1961,"SIC_1987"
"G","22","Textile Mill Products","2211 - 2299",1961,"SIC_1987"
"H","23","Apparel and Other Finished Products","2311 - 2399",1961,"SIC_1987"
"I","24","Lumber and Wood Products, except Furniture","2411 - 2499",1961,"SIC_1987"
"J","25","Furniture and Fixtures","2511 - 2599",1961,"SIC_1987"
"K","26","Paper and Allied Products","2611 - 2679",1961,"SIC_1987"
"L","27","Printing and Publishing, except newspapers","2721 - 2796",1961,"SIC_1987"
"M","28","Chemicals and Allied Products","2812 - 2899",1961,"SIC_1987"
"N","281-2","Basic Chemicals","2812 - 2819, 2823 - 2824, 2861 - 2869",1961,"SIC_1987"
"O","283","Drugs","2833 - 2836",1961,"SIC_1987"
"P","29","Petroleum Refining and related Industries","2911 - 2999",1961,"SIC_1987"
"Q","291","Petroleum Refining","2911",1961,"SIC_1987"
"R","30","Rubber and Misc. Plastics Products","3011 - 3089",1961,"SIC_1987"
"S","31","Leather and Leather Products","3111 - 3199",1961,"SIC_1987"
"T","32","Stone, Clay, and Glass Products","3211 - 3299",1961,"SIC_1987"
"U","33","Primary Metal Industries","3312 - 3399",1961,"SIC_1987"
"V","34","Other Fabricated Metal Products","3411 - 3499",1961,"SIC_1987"
"W","35","Other Machinery","3511 - 3599",1961,"SIC_1987"
"X","354","Metalworking Machinery and Equipment","3541 - 3549",1961,"SIC_1987"
"Y","36","Electrical Machinery, Equipment, and Supplies","3612 - 3699",1961,"SIC_1987"
"Z","37","Transportation Equipment","3711 - 3799",1961,"SIC_1987"
"AA","371","Motor Vehicles and Equipment","3711 - 3716",1961,"SIC_1987"
"AB","372","Aircraft and Parts","3721 - 3728, 3761 - 3769",1961,"SIC_1987"
"AC","38","Instruments and Related Products","3812 - 3873",1961,"SIC_1987"
"AD","39&19","Miscellaneous Manufacturing and Ordnance","3911 - 3999",1961,"SIC_1987"
"AE - AG","98","Nondurable Goods","2011 - 2399, 2611 - 3199",1961,"SIC_1987"
"AH - AJ","99","Durable Goods","2411 - 2599, 3211 - 3999",1961,"SIC_1987"
"AK - AT","20.-39.","All Manufacturing Corporations, Except Newspapers","2011 - 3999",1961,"SIC_1987"
"AU","331-2","Primary Iron and Steel","3312 - 3325, 3398 - 3399",1961,"SIC_1987"
"AV","333-6","Primary Nonferrous Metals","3331 - 3369",1961,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1962,"SIC_1987"
"C","202","Dairy Products","2021 - 2026",1962,"SIC_1987"
"D","205","Bakery Products","2051 - 2053",1962,"SIC_1987"
"E","2082-5","Alcoholic beverages","2082 - 2085",1962,"SIC_1987"
"F","21","Tobacco Manufactures","2111 - 2141",1962,"SIC_1987"
"G","22","Textile Mill Products","2211 - 2299",1962,"SIC_1987"
"H","23","Apparel and Other Finished Products","2311 - 2399",1962,"SIC_1987"
"I","24","Lumber and Wood Products, except Furniture","2411 - 2499",1962,"SIC_1987"
"J","25","Furniture and Fixtures","2511 - 2599",1962,"SIC_1987"
"K","26","Paper and Allied Products","2611 - 2679",1962,"SIC_1987"
"L","27","Printing and Publishing, except newspapers","2721 - 2796",1962,"SIC_1987"
"M","28","Chemicals and Allied Products","2812 - 2899",1962,"SIC_1987"
"N","281-2","Basic Chemicals","2812 - 2819, 2823 - 2824, 2861 - 2869",1962,"SIC_1987"
"O","283","Drugs","2833 - 2836",1962,"SIC_1987"
"P","29","Petroleum Refining and related Industries","2911 - 2999",1962,"SIC_1987"
"Q","291","Petroleum Refining","2911",1962,"SIC_1987"
"R","30","Rubber and Misc. Plastics Products","3011 - 3089",1962,"SIC_1987"
"S","31","Leather and Leather Products","3111 - 3199",1962,"SIC_1987"
"T","32","Stone, Clay, and Glass Products","3211 - 3299",1962,"SIC_1987"
"U","33","Primary Metal Industries","3312 - 3399",1962,"SIC_1987"
"V","34","Other Fabricated Metal Products","3411 - 3499",1962,"SIC_1987"
"W","35","Other Machinery","3511 - 3599",1962,"SIC_1987"
"X","354","Metalworking Machinery and Equipment","3541 - 3549",1962,"SIC_1987"
"Y","36","Electrical Machinery, Equipment, and Supplies","3612 - 3699",1962,"SIC_1987"
"Z","37","Transportation Equipment","3711 - 3799",1962,"SIC_1987"
"AA","371","Motor Vehicles and Equipment","3711 - 3716",1962,"SIC_1987"
"AB","372","Aircraft and Parts","3721 - 3728, 3761 - 3769",1962,"SIC_1987"
"AC","38","Instruments and Related Products","3812 - 3873",1962,"SIC_1987"
"AD","39&19","Miscellaneous Manufacturing and Ordnance","3911 - 3999",1962,"SIC_1987"
"AE - AG","98","Nondurable Goods","2011 - 2399, 2611 - 3199",1962,"SIC_1987"
"AH - AJ","99","Durable Goods","2411 - 2599, 3211 - 3999",1962,"SIC_1987"
"AK - AT","20.-39.","All Manufacturing Corporations, Except Newspapers","2011 - 3999",1962,"SIC_1987"
"AU","331-2","Primary Iron and Steel","3312 - 3325, 3398 - 3399",1962,"SIC_1987"
"AV","333-6","Primary Nonferrous Metals","3331 - 3369",1962,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1963,"SIC_1987"
"C","202","Dairy Products","2021 - 2026",1963,"SIC_1987"
"D","205","Bakery Products","2051 - 2053",1963,"SIC_1987"
"E","2082-5","Alcoholic beverages","2082 - 2085",1963,"SIC_1987"
"F","21","Tobacco Manufactures","2111 - 2141",1963,"SIC_1987"
"G","22","Textile Mill Products","2211 - 2299",1963,"SIC_1987"
"H","23","Apparel and Other Finished Products","2311 - 2399",1963,"SIC_1987"
"I","24","Lumber and Wood Products, except Furniture","2411 - 2499",1963,"SIC_1987"
"J","25","Furniture and Fixtures","2511 - 2599",1963,"SIC_1987"
"K","26","Paper and Allied Products","2611 - 2679",1963,"SIC_1987"
"L","27","Printing and Publishing, except newspapers","2721 - 2796",1963,"SIC_1987"
"M","28","Chemicals and Allied Products","2812 - 2899",1963,"SIC_1987"
"N","281-2","Basic Chemicals","2812 - 2819, 2823 - 2824, 2861 - 2869",1963,"SIC_1987"
"O","283","Drugs","2833 - 2836",1963,"SIC_1987"
"P","29","Petroleum Refining and related Industries","2911 - 2999",1963,"SIC_1987"
"Q","291","Petroleum Refining","2911",1963,"SIC_1987"
"R","30","Rubber and Misc. Plastics Products","3011 - 3089",1963,"SIC_1987"
"S","31","Leather and Leather Products","3111 - 3199",1963,"SIC_1987"
"T","32","Stone, Clay, and Glass Products","3211 - 3299",1963,"SIC_1987"
"U","33","Primary Metal Industries","3312 - 3399",1963,"SIC_1987"
"V","34","Other Fabricated Metal Products","3411 - 3499",1963,"SIC_1987"
"W","35","Other Machinery","3511 - 3599",1963,"SIC_1987"
"X","354","Metalworking Machinery and Equipment","3541 - 3549",1963,"SIC_1987"
"Y","36","Electrical Machinery, Equipment, and Supplies","3612 - 3699",1963,"SIC_1987"
"Z","37","Transportation Equipment","3711 - 3799",1963,"SIC_1987"
"AA","371","Motor Vehicles and Equipment","3711 - 3716",1963,"SIC_1987"
"AB","372","Aircraft and Parts","3721 - 3728, 3761 - 3769",1963,"SIC_1987"
"AC","38","Instruments and Related Products","3812 - 3873",1963,"SIC_1987"
"AD","39&19","Miscellaneous Manufacturing and Ordnance","3911 - 3999",1963,"SIC_1987"
"AE - AG","98","Nondurable Goods","2011 - 2399, 2611 - 3199",1963,"SIC_1987"
"AH - AJ","99","Durable Goods","2411 - 2599, 3211 - 3999",1963,"SIC_1987"
"AK - AT","20.-39.","All Manufacturing Corporations, Except Newspapers","2011 - 3999",1963,"SIC_1987"
"AU","331-2","Primary Iron and Steel","3312 - 3325, 3398 - 3399",1963,"SIC_1987"
"AV","333-6","Primary Nonferrous Metals","3331 - 3369",1963,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1964,"SIC_1987"
"C","202","Dairy Products","2021 - 2026",1964,"SIC_1987"
"D","205","Bakery Products","2051 - 2053",1964,"SIC_1987"
"E","2082-5","Alcoholic beverages","2082 - 2085",1964,"SIC_1987"
"F","21","Tobacco Manufactures","2111 - 2141",1964,"SIC_1987"
"G","22","Textile Mill Products","2211 - 2299",1964,"SIC_1987"
"H","23","Apparel and Other Finished Products","2311 - 2399",1964,"SIC_1987"
"I","24","Lumber and Wood Products, except Furniture","2411 - 2499",1964,"SIC_1987"
"J","25","Furniture and Fixtures","2511 - 2599",1964,"SIC_1987"
"K","26","Paper and Allied Products","2611 - 2679",1964,"SIC_1987"
"L","27","Printing and Publishing, except newspapers","2721 - 2796",1964,"SIC_1987"
"M","28","Chemicals and Allied Products","2812 - 2899",1964,"SIC_1987"
"N","281-2","Basic Chemicals","2812 - 2819, 2823 - 2824, 2861 - 2869",1964,"SIC_1987"
"O","283","Drugs","2833 - 2836",1964,"SIC_1987"
"P","29","Petroleum Refining and related Industries","2911 - 2999",1964,"SIC_1987"
"Q","291","Petroleum Refining","2911",1964,"SIC_1987"
"R","30","Rubber and Misc. Plastics Products","3011 - 3089",1964,"SIC_1987"
"S","31","Leather and Leather Products","3111 - 3199",1964,"SIC_1987"
"T","32","Stone, Clay, and Glass Products","3211 - 3299",1964,"SIC_1987"
"U","33","Primary Metal Industries","3312 - 3399",1964,"SIC_1987"
"V","34","Other Fabricated Metal Products","3411 - 3499",1964,"SIC_1987"
"W","35","Other Machinery","3511 - 3599",1964,"SIC_1987"
"X","354","Metalworking Machinery and Equipment","3541 - 3549",1964,"SIC_1987"
"Y","36","Electrical Machinery, Equipment, and Supplies","3612 - 3699",1964,"SIC_1987"
"Z","37","Transportation Equipment","3711 - 3799",1964,"SIC_1987"
"AA","371","Motor Vehicles and Equipment","3711 - 3716",1964,"SIC_1987"
"AB","372","Aircraft and Parts","3721 - 3728, 3761 - 3769",1964,"SIC_1987"
"AC","38","Instruments and Related Products","3812 - 3873",1964,"SIC_1987"
"AD","39&19","Miscellaneous Manufacturing and Ordnance","3911 - 3999",1964,"SIC_1987"
"AE - AG","98","Nondurable Goods","2011 - 2399, 2611 - 3199",1964,"SIC_1987"
"AH - AJ","99","Durable Goods","2411 - 2599, 3211 - 3999",1964,"SIC_1987"
"AK - AT","20.-39.","All Manufacturing Corporations, Except Newspapers","2011 - 3999",1964,"SIC_1987"
"AU","331-2","Primary Iron and Steel","3312 - 3325, 3398 - 3399",1964,"SIC_1987"
"AV","333-6","Primary Nonferrous Metals","3331 - 3369",1964,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1965,"SIC_1987"
"C","202","Dairy Products","2021 - 2026",1965,"SIC_1987"
"D","205","Bakery Products","2051 - 2053",1965,"SIC_1987"
"E","2082-5","Alcoholic beverages","2082 - 2085",1965,"SIC_1987"
"F","21","Tobacco Manufactures","2111 - 2141",1965,"SIC_1987"
"G","22","Textile Mill Products","2211 - 2299",1965,"SIC_1987"
"H","23","Apparel and Other Finished Products","2311 - 2399",1965,"SIC_1987"
"I","24","Lumber and Wood Products, except Furniture","2411 - 2499",1965,"SIC_1987"
"J","25","Furniture and Fixtures","2511 - 2599",1965,"SIC_1987"
"K","26","Paper and Allied Products","2611 - 2679",1965,"SIC_1987"
"L","27","Printing and Publishing, except newspapers","2721 - 2796",1965,"SIC_1987"
"M","28","Chemicals and Allied Products","2812 - 2899",1965,"SIC_1987"
"N","281-2","Basic Chemicals","2812 - 2819, 2823 - 2824, 2861 - 2869",1965,"SIC_1987"
"O","283","Drugs","2833 - 2836",1965,"SIC_1987"
"P","29","Petroleum Refining and related Industries","2911 - 2999",1965,"SIC_1987"
"Q","291","Petroleum Refining","2911",1965,"SIC_1987"
"R","30","Rubber and Misc. Plastics Products","3011 - 3089",1965,"SIC_1987"
"S","31","Leather and Leather Products","3111 - 3199",1965,"SIC_1987"
"T","32","Stone, Clay, and Glass Products","3211 - 3299",1965,"SIC_1987"
"U","33","Primary Metal Industries","3312 - 3399",1965,"SIC_1987"
"V","34","Other Fabricated Metal Products","3411 - 3499",1965,"SIC_1987"
"W","35","Other Machinery","3511 - 3599",1965,"SIC_1987"
"X","354","Metalworking Machinery and Equipment","3541 - 3549",1965,"SIC_1987"
"Y","36","Electrical Machinery, Equipment, and Supplies","3612 - 3699",1965,"SIC_1987"
"Z","37","Transportation Equipment","3711 - 3799",1965,"SIC_1987"
"AA","371","Motor Vehicles and Equipment","3711 - 3716",1965,"SIC_1987"
"AB","372","Aircraft and Parts","3721 - 3728, 3761 - 3769",1965,"SIC_1987"
"AC","38","Instruments and Related Products","3812 - 3873",1965,"SIC_1987"
"AD","39&19","Miscellaneous Manufacturing and Ordnance","3911 - 3999",1965,"SIC_1987"
"AE - AG","98","Nondurable Goods","2011 - 2399, 2611 - 3199",1965,"SIC_1987"
"AH - AJ","99","Durable Goods","2411 - 2599, 3211 - 3999",1965,"SIC_1987"
"AK - AT","20.-39.","All Manufacturing Corporations, Except Newspapers","2011 - 3999",1965,"SIC_1987"
"AU","331-2","Primary Iron and Steel","3312 - 3325, 3398 - 3399",1965,"SIC_1987"
"AV","333-6","Primary Nonferrous Metals","3331 - 3369",1965,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1966,"SIC_1987"
"C","202","Dairy Products","2021 - 2026",1966,"SIC_1987"
"D","205","Bakery Products","2051 - 2053",1966,"SIC_1987"
"E","2082-5","Alcoholic beverages","2082 - 2085",1966,"SIC_1987"
"F","21","Tobacco Manufactures","2111 - 2141",1966,"SIC_1987"
"G","22","Textile Mill Products","2211 - 2299",1966,"SIC_1987"
"H","23","Apparel and Other Finished Products","2311 - 2399",1966,"SIC_1987"
"I","24","Lumber and Wood Products, except Furniture","2411 - 2499",1966,"SIC_1987"
"J","25","Furniture and Fixtures","2511 - 2599",1966,"SIC_1987"
"K","26","Paper and Allied Products","2611 - 2679",1966,"SIC_1987"
"L","27","Printing and Publishing, except newspapers","2721 - 2796",1966,"SIC_1987"
"M","28","Chemicals and Allied Products","2812 - 2899",1966,"SIC_1987"
"N","281-2","Basic Chemicals","2812 - 2819, 2823 - 2824, 2861 - 2869",1966,"SIC_1987"
"O","283","Drugs","2833 - 2836",1966,"SIC_1987"
"P","29","Petroleum Refining and related Industries","2911 - 2999",1966,"SIC_1987"
"Q","291","Petroleum Refining","2911",1966,"SIC_1987"
"R","30","Rubber and Misc. Plastics Products","3011 - 3089",1966,"SIC_1987"
"S","31","Leather and Leather Products","3111 - 3199",1966,"SIC_1987"
"T","32","Stone, Clay, and Glass Products","3211 - 3299",1966,"SIC_1987"
"U","33","Primary Metal Industries","3312 - 3399",1966,"SIC_1987"
"V","34","Other Fabricated Metal Products","3411 - 3499",1966,"SIC_1987"
"W","35","Other Machinery","3511 - 3599",1966,"SIC_1987"
"X","354","Metalworking Machinery and Equipment","3541 - 3549",1966,"SIC_1987"
"Y","36","Electrical Machinery, Equipment, and Supplies","3612 - 3699",1966,"SIC_1987"
"Z","37","Transportation Equipment","3711 - 3799",1966,"SIC_1987"
"AA","371","Motor Vehicles and Equipment","3711 - 3716",1966,"SIC_1987"
"AB","372","Aircraft and Parts","3721 - 3728, 3761 - 3769",1966,"SIC_1987"
"AC","38","Instruments and Related Products","3812 - 3873",1966,"SIC_1987"
"AD","39&19","Miscellaneous Manufacturing and Ordnance","3911 - 3999",1966,"SIC_1987"
"AE - AG","98","Nondurable Goods","2011 - 2399, 2611 - 3199",1966,"SIC_1987"
"AH - AJ","99","Durable Goods","2411 - 2599, 3211 - 3999",1966,"SIC_1987"
"AK - AT","20.-39.","All Manufacturing Corporations, Except Newspapers","2011 - 3999",1966,"SIC_1987"
"AU","331-2","Primary Iron and Steel","3312 - 3325, 3398 - 3399",1966,"SIC_1987"
"AV","333-6","Primary Nonferrous Metals","3331 - 3369",1966,"SIC_1987"
"B","20","Food and Kindred Products","2011 - 2099",1967,"SIC_1987"
"C","202","Dairy Products","2021 - 2026",1967,"SIC_1987"
"D","205","Bakery Products","2051 - 2053",1967,"SIC_1987"
"E","2082-5","Alcoholic beverages","2082 - 2085",1967,"SIC_1987"
"F","21","Tobacco Manufactures","2111 - 2141",1967,"SIC_1987"
"G","22","Textile Mill Products","2211 - 2299",1967,"SIC_1987"
"H","23","Apparel and Other Finished Products","2311 - 2399",1967,"SIC_1987"
"I","24","Lumber and Wood Products, except Furniture","2411 - 2499",1967,"SIC_1987"
"J","25","Furniture and Fixtures","2511 - 2599",1967,"SIC_1987"
"K","26","Paper and Allied Products","2611 - 2679",1967,"SIC_1987"
"L","27","Printing and Publishing, except newspapers","2721 - 2796",1967,"SIC_1987"
"M","28","Chemicals and Allied Products","2812 - 2899",1967,"SIC_1987"
"N","281-2","Basic Chemicals","2812 - 2819, 2823 - 2824, 2861 - 2869",1967,"SIC_1987"
"O","283","Drugs","2833 - 2836",1967,"SIC_1987"
"P","29","Petroleum Refining and related Industries","2911 - 2999",1967,"SIC_1987"
"Q","291","Petroleum Refining","2911",1967,"SIC_1987"
"R","30","Rubber and Misc. Plastics Products","3011 - 3089",1967,"SIC_1987"
"S","31","Leather and Leather Products","3111 - 3199",1967,"SIC_1987"
"T","32","Stone, Clay, and Glass Products","3211 - 3299",1967,"SIC_1987"
"U","33","Primary Metal Industries","3312 - 3399",1967,"SIC_1987"
"V","34","Other Fabricated Metal Products","3411 - 3499",1967,"SIC_1987"
"W","35","Other Machinery","3511 - 3599",1967,"SIC_1987"
"X","354","Metalworking Machinery and Equipment","3541 - 3549",1967,"SIC_1987"
"Y","36","Electrical Machinery, Equipment, and Supplies","3612 - 3699",1967,"SIC_1987"
"Z","37","Transportation Equipment","3711 - 3799",1967,"SIC_1987"
"AA","371","Motor Vehicles and Equipment","3711 - 3716",1967,"SIC_1987"
"AB","372","Aircraft and Parts","3721 - 3728, 3761 - 3769",1967,"SIC_1987"
"AC","38","Instruments and Related Products","3812 - 3873",1967,"SIC_1987"
"AD","39&19","Miscellaneous Manufacturing and Ordnance","3911 - 3999",1967,"SIC_1987"
"AE - AG","98","Nondurable Goods","2011 - 2399, 2611 - 3199",1967,"SIC_1987"
"AH - AJ","99","Durable Goods","2411 - 2599, 3211 - 3999",1967,"SIC_1987"
