Table 6.3B. Wages and Salaries by Industry
Table 6.3B. Wages and Salaries by Industry
"Last Revised on: September 27, 2024"
Line,,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
72,"                Social services",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,4498,5118,5609,6577,7512,8599,9416,9870,10753,11837,13235,14879,16692
73,"                Membership organizations",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,10168,10531,11516,12698,13610,14892,15812,17050,18009,19199,19569,21249,22822
74,"            Miscellaneous professional services",587,597,639,823,1037,1163,1187,1350,1722,1900,1898,2014,2131,2253,2481,2689,2957,3279,3809,4223,4728,5468,5947,6363,7046,8277,9460,10369,11293,12869,15176,17933,20864,23947,25936,27994,31222,34750,37571,41910
75,"            Private households",2361,2353,2569,2648,2601,2677,2551,3028,3242,3297,3477,3525,3762,3698,3768,3786,3869,3921,3964,4122,4318,4376,4440,4492,4572,4746,4513,4555,5326,5845,6434,6271,5999,6036,6135,6166,7147,7192,7586,7572
76,"    Government",19020,20827,22633,29229,33378,34338,34905,36596,38802,41013,44122,46054,49182,52471,56347,60026,64925,69910,78389,86483,96689,105600,117232,126780,137887,148799,160512,176240,188906,202588,220018,237136,261461,285849,307537,324795,348138,373863,397220,423117
77,"        Federal",10230,11110,12250,17864,20823,20698,20020,20582,21162,21594,22732,23100,24045,25070,26630,27931,29901,31500,35840,39112,43146,46040,49647,51514,55043,57166,60482,64417,67804,71779,77546,82014,90120,100697,108406,113122,121147,128151,132009,138372
78,"            General government",8618,9325,10400,15810,18474,18389,17679,18113,18601,18916,19771,20057,20764,21582,22979,23970,25695,26976,30862,33783,37210,39582,42084,43642,46564,47998,50201,53339,55987,59285,64091,67431,73761,82051,89427,93132,99439,105274,108769,113594
79,"                Civilian",4487,4863,5147,6878,7744,7765,7407,7932,8431,8713,9431,9691,10349,11006,11723,12466,13288,14046,15438,16715,18365,19573,21402,22924,24601,25877,27703,30243,32510,34982,38405,40471,43944,46953,49566,51312,54668,57414,58742,61476
80,"                Military2",4131,4462,5253,8932,10730,10624,10272,10181,10170,10203,10340,10366,10415,10576,11256,11504,12407,12930,15424,17068,18845,20009,20682,20718,21963,22121,22498,23096,23477,24303,25686,26960,29817,35098,39861,41820,44771,47860,50027,52118
81,"            Government enterprises",1612,1785,1850,2054,2349,2309,2341,2469,2561,2678,2961,3043,3281,3488,3651,3961,4206,4524,4978,5329,5936,6458,7563,7872,8479,9168,10281,11078,11817,12494,13455,14583,16359,18646,18979,19990,21708,22877,23240,24778
82,"        State and local",8790,9717,10383,11365,12555,13640,14885,16014,17640,19419,21390,22954,25137,27401,29717,32095,35024,38410,42549,47371,53543,59560,67585,75266,82844,91633,100030,111823,121102,130809,142472,155122,171341,185152,199131,211673,226991,245712,265211,284745
83,"            General government",8157,9019,9634,10520,11517,12532,13735,14788,16378,18105,19964,21336,23363,25604,27712,29977,32682,35878,39841,44474,50195,55847,63412,70614,77785,85893,93528,104365,113158,122376,133045,144707,159454,172107,184973,196364,210592,227768,245984,264559
