1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2007:Q4,3027699,390914,2636785,2662110,-25325,-209,-1681,56488,325850,3947,354539,866260,442073,280064,129132,35735,-2859,424187,632974,49409,134775,2879,173005,190913,2445,123046,1648,63774,113801,115890,-2891,802,-274393,-13170,74988,14322,144820,2474,19151,208787,11084,193487,116941,53924,6875,12510,3237,4216,0,-511721
2008:Q1,3067283,390962,2676321,2580096,96225,-652,7405,47404,326919,3545,458945,715844,423276,271993,117493,36579,-2788,292568,446644,11400,188468,-3657,219254,51603,112953,-31048,-20652,-9650,119636,118300,-2305,3641,-196833,-137352,28534,10432,139430,1876,13853,154076,2959,143474,92847,-7469,5496,50417,2183,6307,1336,-256899
2008:Q2,3153575,379396,2774180,2634039,140140,-147,15640,41026,329476,4311,490545,429863,414298,268272,111128,37615,-2716,15565,-1341,21382,-106390,-5557,-73507,194905,34310,110792,31070,18733,-5974,-12955,6880,101,-208303,-77964,92392,14420,143671,1876,7708,-16906,10470,-34075,20453,18445,-17915,-57241,2183,6307,392,60681
2008:Q3,3115486,362814,2752672,2627766,124906,-484,-16253,29628,330388,-5876,506566,723814,398226,258389,104099,38401,-2662,325588,494304,17386,147889,-7982,-96,413215,112493,167790,-12845,145777,12500,1165,8248,3087,-167226,-76727,-58379,21414,172428,1876,18006,168716,-2583,165173,5032,23361,32622,101975,2183,6307,-181,-217248
2008:Q4,3089336,374330,2715006,2624804,90203,-619,-1963,7223,331242,5518,424493,877549,365740,237679,92415,38273,-2626,511808,281165,260083,-2982,-634,244974,392213,153328,104557,30842,103486,-257516,-259645,2572,-443,-308729,-80798,-144977,26523,133404,1876,17728,-230643,-1210,-237365,-28606,-24,-1519,-209399,2183,6307,1625,-453056
2009:Q1,3008196,304234,2703962,2493349,210613,138,4564,6795,330629,3979,539632,669309,354929,237380,82446,37737,-2634,314380,270936,-19470,-9432,-4377,-27933,281997,180521,-162210,59431,204255,-66814,-73060,4791,1455,46160,-52889,-5485,18007,111393,-202,-19,-43444,641,-53567,52422,-65647,-13989,-23905,-2448,9975,-493,-129677
2009:Q2,3019332,273729,2745603,2553192,192411,-678,14749,4832,329515,3527,507805,306796,346159,235069,76265,37436,-2610,-39364,-14000,46396,-57325,72,-120694,-424172,-58244,-371419,32743,-27252,9200,7406,4648,-2854,233232,-5441,147166,2916,150783,-202,4069,25364,3544,13499,22015,-35069,14801,14200,-2448,9975,-1654,201009
2009:Q3,3005891,271754,2734137,2581458,152679,-808,-16732,14204,329159,-22548,534514,451677,358826,244617,79545,37247,-2582,92851,151809,-31666,11845,428,-163119,2983,169715,-76271,24727,-115188,17404,13778,4363,-737,27422,-762,140526,2014,136031,-202,8905,58958,1776,47589,5084,9839,17771,17343,-2448,9975,-382,82837
2009:Q4,3032262,302660,2729602,2660368,69234,41,2378,9763,329342,-13056,419057,659630,354007,239677,80524,36355,-2550,305623,362142,54323,168370,-3291,-84407,-24102,85635,-81523,56685,-84899,-2077,-2300,4481,-4258,-35377,1677,105273,11674,153003,-202,17278,56519,1515,47384,15814,-3695,11148,26565,-2448,9975,-2355,-240572
2010:Q1,3072185,295969,2776216,2566368,209848,-730,102,9107,328433,-13934,560489,712457,349813,238165,78695,35492,-2539,362644,235692,-98613,72046,-4252,-208556,196978,92671,8361,38851,57095,4372,-776,3242,1906,-22389,18064,122565,1190,165860,1516,-13089,-126952,943,-123452,-81555,-65560,28842,-5432,253,-6945,2502,-151968
