1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q3,4632,-27,139,4938,4737,15,46,140,-311,-107,5578,7407,479,528,-49,-2512,-634,703,212,388,412,29,2,-55,-16,104,94,0,1,0,-46,-50,0,16,0,0,135,-946
1963:Q4,18485,-25,2239,16025,15563,87,41,334,137,109,14971,9188,3886,3907,-21,-2387,2151,1786,726,856,631,38,3,184,-14,116,101,0,-1,0,54,-53,0,1,0,0,347,3514
1964:Q1,-1289,-16,-1183,-39,-380,109,40,192,-174,123,757,3087,-3407,-3408,1,1143,618,-1236,-1075,-35,-203,17,3,148,-8,-172,112,0,0,0,-75,-5,0,22,0,0,552,-2046
1964:Q2,13406,-19,1218,11951,11364,270,39,278,176,80,13180,7764,1828,1799,29,2488,-518,1021,161,701,745,9,3,-56,-6,-15,134,0,0,0,62,-11,0,-5,0,0,597,226
1964:Q3,9494,-43,613,9060,8417,413,37,193,-164,28,10893,10161,351,312,39,-883,190,289,-51,263,269,53,3,-62,-7,35,96,0,0,0,-37,-5,0,-5,0,0,784,-1399
1964:Q4,19360,-167,2651,16386,15542,416,31,397,210,280,16946,11360,1991,1958,33,-2529,2691,2570,1103,1155,849,77,1,228,-15,174,128,0,-2,0,36,-6,0,-3,0,0,862,2415
1965:Q1,709,-40,-1640,2525,1888,441,23,173,-151,15,3007,5382,-2344,-2370,26,1768,-273,-2083,-1542,-268,-385,34,0,83,-16,-202,-43,0,0,0,-64,46,0,6,0,0,557,-2298
1965:Q2,15741,-1,1697,13689,13278,153,12,246,127,229,13788,6531,1526,1496,30,3690,-169,1820,773,920,1089,25,-3,-191,-22,-7,76,0,0,0,27,42,0,11,0,0,390,1953
1965:Q3,3519,43,461,3505,3930,-593,16,152,-231,-259,6193,11563,-235,-262,27,-4733,194,-735,-470,-449,-401,35,-2,-81,-21,17,136,0,1,0,-10,50,0,11,0,0,138,-2674
1965:Q4,20746,84,1926,18733,18558,-285,36,424,101,-98,15713,10652,3478,3457,21,-2208,2045,1946,817,556,349,-26,-2,235,-16,207,289,0,5,0,32,54,0,2,0,0,-200,5033
1966:Q1,-2445,141,-1096,-1078,-1165,-139,55,171,-221,-191,69,4004,-4110,-4113,3,51,380,-749,-387,-108,-211,0,5,98,-3,-430,129,0,8,0,-29,52,0,19,0,0,493,-2514
1966:Q2,16621,126,2010,14159,13459,392,73,235,201,125,13078,4257,651,658,-7,6323,542,819,276,436,544,60,9,-177,6,24,-49,0,10,0,58,42,0,16,0,0,486,3544
1966:Q3,-1465,56,148,-1330,-1745,243,78,94,-290,-49,302,4874,-1057,-1049,-8,-4534,-884,347,390,-168,-35,65,10,-208,7,62,48,0,14,0,-58,34,0,18,0,0,1556,-1767
1966:Q4,18710,202,2518,15476,14956,99,70,351,302,212,14137,7102,3538,3536,2,-2490,1778,2739,52,2020,1845,25,8,142,-2,388,186,0,19,0,32,24,0,20,0,0,1469,4574
1967:Q1,1794,151,-1901,3483,3286,-54,73,178,454,-393,8412,9589,-2064,-2087,23,771,1618,-1159,-1397,210,-201,194,11,206,-8,-239,187,0,39,0,-35,22,0,62,0,0,-343,-6618
1967:Q2,18069,92,2543,15102,14284,416,78,324,435,-103,15128,11665,1050,1020,30,1095,718,536,110,107,57,86,13,-49,-16,76,158,0,25,0,-10,20,0,66,0,0,64,2941
1967:Q3,14540,109,271,14765,14310,225,76,154,-608,3,16008,11417,1468,1431,37,-35,-372,1763,9,1457,1280,237,14,-74,-14,47,190,0,18,0,-10,28,0,38,0,0,1767,-1468
1967:Q4,24787,5,3288,21161,20575,143,67,376,114,219,19420,12519,3373,3331,42,-1416,1202,2675,1216,982,640,131,12,199,-6,145,197,0,14,0,58,29,0,40,0,0,1066,5368
1968:Q1,-2095,171,-1252,-1082,-1976,594,55,245,-129,197,3852,4850,-1584,-1615,31,-420,-201,647,113,718,228,287,5,198,12,-412,99,0,9,0,-53,27,0,134,0,0,559,-5947
1968:Q2,14993,-91,1495,12402,11089,898,21,394,97,1090,10710,7452,982,939,43,573,991,-434,-508,-454,-635,304,6,-129,27,61,246,0,5,0,23,16,0,150,0,0,1146,4284
1968:Q3,17636,33,1518,16083,16675,-748,46,110,-147,149,20227,12083,383,339,44,3212,-955,3982,1104,2191,2437,56,6,-308,27,209,215,0,97,0,3,12,0,124,0,0,1522,-2591
1968:Q4,26405,54,1646,24414,22650,1174,130,460,130,161,16508,14711,2994,2957,37,-4727,2722,1111,339,135,74,-16,6,71,11,248,227,0,32,0,30,22,0,67,0,0,-304,9898
1969:Q1,-8914,31,-1499,-7527,-10385,2263,236,359,-139,220,-2107,-2395,-1845,-1872,27,522,-1073,-966,-639,-96,-584,370,8,110,-1,-335,109,0,-58,0,13,19,0,22,0,0,3650,-6807
1969:Q2,14868,-90,897,13604,12410,451,368,375,34,423,9098,6231,672,652,20,1686,-1366,-1910,-511,-1438,-1357,310,9,-400,-14,-130,245,0,-91,0,22,24,0,-17,0,0,3785,5770
1969:Q3,-4769,25,2035,-6652,-7886,697,345,192,-387,210,-916,-2806,-701,-717,16,644,-3565,3701,1321,1906,2030,208,9,-341,-16,62,175,0,82,0,178,36,0,-43,0,0,1811,-3853
1969:Q4,20563,87,2134,18033,19173,-1808,166,502,150,159,15141,5940,1726,1710,16,-508,1993,479,-221,355,223,-28,9,151,-10,355,229,0,-61,0,-164,37,0,-41,0,0,5511,5422
1970:Q1,-9747,52,-731,-9380,-14201,4272,175,374,-55,367,-1479,-2986,-1509,-1737,228,2142,598,1042,169,988,-98,677,21,388,17,-157,222,0,-105,0,-70,42,0,-64,0,0,-765,-8269
1970:Q2,19983,86,473,19289,18870,-196,122,493,347,-212,18148,14406,141,-286,427,1592,2825,-426,-908,326,-154,541,29,-90,34,-96,109,0,141,0,13,52,0,-97,0,0,-390,1836
1970:Q3,22801,88,2499,20275,18616,1331,97,231,6,-67,25056,21781,1480,1054,426,147,588,2958,288,2338,2277,261,30,-230,36,49,343,0,-74,0,7,65,0,-94,0,0,-1898,-2255
1970:Q4,34250,75,2318,31145,30753,-356,100,648,991,-279,25367,16559,3654,3226,428,-458,5027,3977,1410,1731,1106,90,23,512,24,328,294,0,160,0,13,75,0,-58,0,0,-3393,8884
1971:Q1,15074,121,684,13530,11367,1431,-43,775,1095,-356,21428,23945,-1195,-1623,428,-3426,3149,2227,-1675,3703,2456,487,21,739,23,-209,345,0,-16,0,13,76,0,-33,0,0,-3273,-6354
1971:Q2,29387,150,912,29932,27259,1871,-36,838,-1313,-294,26020,21193,2448,2021,427,3823,462,-628,76,-950,-2316,1182,35,149,21,-67,204,0,15,0,-18,72,0,19,0,0,-1278,3367
1971:Q3,13299,127,1955,11922,11005,61,369,487,-662,-43,19492,15056,1070,636,434,304,42,2234,-90,1663,1509,227,64,-137,18,25,305,0,24,0,193,68,0,28,0,0,786,-6193
1971:Q4,42468,80,4594,36595,36731,-1127,219,772,339,860,34824,20725,2534,2086,448,1325,4490,5591,1474,3530,4000,-755,7,278,15,256,300,0,72,0,-134,68,0,10,0,0,159,7644
1972:Q1,12755,268,-1608,13443,14442,-1864,-110,975,219,433,20481,19022,548,88,460,-3521,889,3193,-680,4073,4128,-854,47,752,12,-599,351,0,46,0,-80,66,0,4,0,0,349,-7726
1972:Q2,29901,171,1215,28868,27353,735,-107,887,-262,-91,24313,18288,1262,784,478,1330,1761,116,-275,-283,-1313,1302,62,-334,10,164,366,0,38,0,25,66,0,5,0,0,1556,5588
1972:Q3,25678,134,-1070,25607,23342,1448,341,476,-302,1309,33249,23881,2199,1723,476,-451,-381,5747,1150,3981,3232,809,53,-113,6,94,440,0,8,0,5,65,0,-2,0,0,2254,-7571
1972:Q4,44346,113,2891,40221,40599,-1650,342,930,104,1017,35323,25563,3535,3081,454,1433,5276,-1685,1376,-4405,-3853,-907,7,348,3,559,569,0,170,0,2,64,0,-23,0,0,1201,9023
1973:Q1,19755,107,1430,16859,15777,-103,42,1143,-257,1616,27262,21008,902,367,535,1855,1425,2991,-1808,4762,3908,260,5,589,0,-457,479,0,-42,0,35,63,0,-41,0,0,-919,-7507
1973:Q2,32031,111,1045,29518,24490,3965,-126,1189,162,1195,29247,18622,3118,2577,541,151,1645,1999,-344,1754,-1183,2982,6,-51,-6,-23,468,0,177,0,-24,62,0,-65,0,0,3712,2784
1973:Q3,16917,83,3658,13805,14494,-1033,309,35,-275,-354,20148,14452,1309,758,551,-5371,391,9397,3753,4778,7517,-1915,138,-962,-5,-66,772,0,167,0,4,62,0,-68,0,0,-30,-3231
1973:Q4,39696,102,274,35610,32321,2522,248,519,567,3143,32727,19784,4112,3565,547,2080,3550,-199,-3201,1733,-656,2236,137,16,-2,635,462,0,84,0,83,60,0,-53,0,0,3400,6969
1974:Q1,15110,97,-341,12577,9092,2469,-41,1057,282,2495,25566,17658,-531,-1494,963,-1318,-170,4041,-108,4188,2878,312,-119,1117,7,-577,566,0,-98,67,-26,58,0,-36,0,0,5885,-10456
1974:Q2,49610,111,4972,38986,30251,7687,-44,1092,37,5504,40265,15356,1244,533,711,776,4069,15898,1256,13645,6044,7522,-120,199,12,-42,665,0,242,143,-54,58,0,-27,0,0,2922,9346
1974:Q3,8552,145,4774,3780,6635,-2972,82,35,-1,-146,15056,8694,2504,2317,187,-558,-2741,2795,3413,-2184,4753,-5740,-55,-1142,14,51,711,0,155,576,22,57,0,-20,0,0,4362,-6504
1974:Q4,36455,183,-3263,36116,30867,4357,70,822,330,3089,27628,19460,3238,3436,-198,-2690,4477,-2299,-6621,1836,-1876,3159,112,441,21,496,899,0,154,834,45,56,0,-19,0,0,5441,8828
1975:Q1,8760,201,3473,2708,4059,-3388,250,1787,496,1882,19275,15440,3838,3775,63,1087,-2642,5541,726,3541,4725,-2662,8,1470,-169,-385,798,0,331,706,-50,55,0,-12,0,0,-3989,-10515
