date,FA893150005.Q,FA543150005.Q,FA574190005.Q,FA344090005.Q,FA224190005.Q,FA263150005.Q,FA893150005.Q,FA153050005.Q,FA543050005.Q,FA543151905.Q,FA893131573.Q,FA763131573.Q,FA473131573.Q,FA543131503.Q,FA633131573.Q,FA653131573.Q,FA153131575.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,6705,400,1380,4047,878,0,6705,6705,0,0,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,7057,500,1517,3946,1094,0,7057,7057,0,0,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1984:Q1,210952,38112,54992,55784,62064,0,210952,210952,0,0,50700,16160,2500,3596,1988,4840,21616
1984:Q2,196616,40192,32676,62632,61116,0,196616,196616,0,0,50700,16160,2500,3596,1992,4840,21612
1984:Q3,239856,42284,76568,58312,62692,0,239856,239856,0,0,50700,16160,2500,3596,1988,4840,21616
1984:Q4,245588,75156,46244,60216,63972,0,245588,245588,0,0,50700,68496,2616,3596,1992,4840,-30840
1985:Q1,232148,35248,70504,61080,65316,0,232148,232148,0,0,72816,54068,-2016,7768,1392,11068,536
1985:Q2,262400,56408,79800,59716,66476,0,262400,262400,0,0,72816,42284,6276,7768,1392,11068,4028
1985:Q3,214244,49024,37236,60236,67748,0,214244,214244,0,0,72816,17228,4376,7768,1396,11068,30980
1985:Q4,295320,81828,83772,60752,68968,0,295320,295320,0,0,72816,15392,8236,7768,1392,11068,28960
1986:Q1,231040,23028,70360,65028,72624,0,231040,231040,0,0,81748,47812,5064,5612,1992,18980,2288
1986:Q2,232764,58368,39972,63344,71080,0,232764,232764,0,0,81748,38516,12616,5612,1992,18980,4032
1986:Q3,278848,81768,59984,64392,72704,0,278848,278848,0,0,81748,3108,2968,5612,1988,18980,49092
1986:Q4,330460,90344,101296,64808,74012,0,330460,330460,0,0,81748,14268,2968,5612,1992,18980,37928
1987:Q1,240824,24552,76236,62356,77680,0,240824,240824,0,0,73208,21584,3892,7884,4956,15852,19040
1987:Q2,228676,27700,61264,62732,76980,0,228676,228676,0,0,73208,28676,3888,7884,4960,15852,11948
1987:Q3,301136,37472,123356,62168,78140,0,301136,301136,0,0,73208,10532,1940,7884,4956,15852,32044
