1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q3,1058,-500,939,-3428,-6943,664,-31,-7576,2144,1814,5649,1383,-1401,18
1974:Q4,15187,0,-2821,6892,11649,-159,-97,11904,11568,-281,-7607,-4212,4485,-273
1975:Q1,-10789,-443,20,-3464,-10092,-983,-116,-8993,-27885,-1359,36694,-4259,5007,-748
1975:Q2,4102,231,-4002,564,3358,-898,-91,4347,-5527,2824,11508,-4854,3543,1311
1975:Q3,4869,429,3489,926,-6402,-112,-75,-6215,-4390,-436,11782,-530,482,48
1975:Q4,4123,-562,-4221,-1456,14817,2033,-79,12863,26177,-2112,-24224,-4296,4320,-24
1976:Q1,-1144,96,2099,2034,-8402,334,-65,-8670,-25311,-2416,36258,-5502,6280,-778
1976:Q2,-384,297,-374,2660,1428,-473,-35,1936,-5113,3078,4403,-6763,5229,1534
1976:Q3,3049,411,1076,5175,-7391,-994,6,-6403,-6031,141,11698,-2030,1955,74
1976:Q4,415,-152,-3590,-2181,14092,275,43,13774,28207,-1330,-27633,-6997,7189,-192
1977:Q1,-6167,388,-1348,6226,-6942,817,55,-7813,-18519,-1682,23372,-7663,8391,-728
