1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q1,3328,3328,3328,6231,5566,665,-2903,369,26,0,0,0,0,0,-284,0,-284,8,521,98,98,0,0,3272,2692,2109,491,416,1202,1,582,0,0,580,1,579
1965:Q2,3381,3381,3381,6351,5691,660,-2970,-48,30,0,0,0,0,0,167,0,167,20,-361,96,96,0,0,2922,3019,3152,631,321,2200,0,-133,0,0,-97,2,-99
1965:Q3,3438,3438,3438,6414,5783,630,-2976,371,27,0,0,0,0,0,8,0,8,16,221,99,99,0,0,3347,2281,2179,202,1,1976,1,101,0,0,1066,2,1064
1965:Q4,3501,3501,3501,6542,5961,582,-3042,-50,21,0,0,0,0,0,370,0,370,7,-557,109,109,0,0,2992,1008,1886,245,51,1590,0,-878,0,0,1984,3,1981
1966:Q1,3568,3568,3568,6671,6022,649,-3103,489,3,0,0,0,0,0,-339,0,-339,12,697,116,116,0,0,3592,3558,3396,622,684,2090,1,161,0,0,34,0,34
1966:Q2,3634,3634,3634,6104,5976,128,-2470,-107,-7,0,0,0,0,0,129,0,129,14,-367,124,124,0,0,2363,2531,3199,954,250,1995,0,-668,0,0,-168,1,-169
1966:Q3,3697,3697,3697,6261,5929,333,-2564,690,-8,0,0,0,0,0,-105,0,-105,18,655,130,130,0,0,3254,1664,1526,28,23,1475,0,138,0,0,1590,1,1589
1966:Q4,3759,3759,3759,6284,5751,533,-2525,-21,2,0,0,0,0,0,263,0,263,8,-424,130,130,0,0,2504,730,1564,646,-30,948,0,-834,0,0,1774,1,1773
1967:Q1,3821,3821,3821,6466,5576,891,-2646,501,23,0,0,0,0,0,-334,0,-334,12,659,141,141,0,0,3147,1779,1833,199,555,1079,1,-55,0,0,1368,3,1365
1967:Q2,3883,3883,3883,6365,5708,658,-2482,108,30,0,0,0,0,0,76,0,76,24,-168,146,146,0,0,2590,3404,3422,745,349,2328,1,-19,0,0,-813,4,-817
1967:Q3,3947,3947,3947,6238,5810,429,-2291,586,37,0,0,50,50,0,-103,0,-103,9,440,153,153,0,0,2877,2707,2310,-41,-20,2371,1,396,0,0,170,4,166
1967:Q4,4016,4016,4016,6192,6081,112,-2177,101,42,0,0,50,50,0,245,0,245,12,-400,152,152,0,0,2278,2355,2767,457,275,2035,1,-413,0,0,-77,4,-81
1968:Q1,4086,4086,4086,7215,6309,906,-3129,-1152,31,0,0,50,50,0,-280,0,-280,11,-1129,165,165,0,0,1977,-367,1902,238,410,1254,1,-2270,0,0,2344,3,2341
1968:Q2,4164,4164,4164,7770,6423,1347,-3606,224,43,0,0,50,50,0,85,0,85,32,-157,171,171,0,0,3830,4037,3875,864,311,2700,1,161,0,0,-208,3,-211
1968:Q3,4251,4251,4251,6930,6623,307,-2679,671,44,0,0,50,50,0,-145,0,-145,8,527,187,187,0,0,3350,2893,2300,-50,-38,2388,1,592,0,0,458,4,454
1968:Q4,4344,4344,4344,6833,7043,-210,-2489,63,37,0,0,50,50,0,320,0,320,56,-608,208,208,0,0,2552,2307,2894,411,112,2371,1,-588,0,0,245,4,241
1969:Q1,4447,4447,4447,8178,7441,737,-3731,603,27,0,0,50,50,0,-322,0,-322,14,602,232,232,0,0,4334,3297,3071,869,575,1627,1,225,0,0,1037,4,1033
1969:Q2,4545,4545,4545,8219,7634,585,-3674,582,20,0,0,50,50,0,137,100,37,29,88,258,258,0,0,4256,5555,5126,1030,567,3529,1,428,0,0,-1299,4,-1303
1969:Q3,4636,4636,4636,8015,7919,96,-3379,720,16,0,0,50,50,0,18,100,-82,9,360,267,267,0,0,4099,4353,3825,591,162,3072,2,526,0,0,-254,4,-258
1969:Q4,4725,4725,4725,7698,7895,-197,-2973,70,16,0,0,50,50,0,327,100,227,12,-595,260,260,0,0,3043,2760,3296,257,248,2791,1,-537,0,0,283,5,278
1970:Q1,4812,4812,4812,8241,7853,389,-3430,585,28,200,0,50,50,0,-198,100,-298,14,221,270,270,0,0,4015,832,-6813,-39,731,-7505,1,21,0,7623,3183,7,3176
1970:Q2,4904,4904,4904,8139,7896,243,-3235,465,27,400,0,50,50,0,164,100,64,18,-471,277,277,0,0,3700,5283,4946,616,595,3735,2,195,0,140,-1583,6,-1589
1970:Q3,5004,5004,5004,7875,8087,-212,-2871,516,26,400,0,50,50,0,202,100,102,6,-442,274,274,0,0,3387,4974,4670,71,15,4584,2,-40,0,342,-1587,6,-1593
