1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1962:Q4,50292,2972,2903,37,37,0,0,0,0,32,0,0,-48,450,30530,52,30478,15624,14854,0,0,0,0,0,0,0,0,0,0,16389,15978,0,411,49463,48996,17454,31198,977,380,597,0,0,0,292,25410,4519,0,0,0,344,467,0,467,52,0,0
1963:Q1,48420,1445,1223,194,194,0,0,0,0,28,0,0,-49,386,30366,29,30337,16046,14291,0,0,0,0,0,0,0,0,0,0,16272,15878,0,394,47498,47020,16410,30528,1291,440,851,0,0,0,219,24808,4210,0,0,0,82,478,0,478,29,0,0
1963:Q2,49933,1784,1638,96,96,0,0,0,0,50,0,0,-93,283,31850,23,31827,17786,14041,0,0,0,0,0,0,0,0,0,0,16109,15733,0,376,49003,48522,16965,31433,1175,369,806,0,0,0,219,26556,3483,0,0,0,124,481,0,481,23,0,0
1963:Q3,50036,1889,1435,465,465,0,0,0,0,-11,0,0,-47,197,32023,16,32007,14032,17975,0,0,0,0,0,0,0,0,0,0,15974,15582,0,392,49091,48604,16621,31916,1328,388,940,0,0,0,180,25858,4550,0,0,0,67,487,0,487,16,0,0
1963:Q4,52351,2678,2600,31,31,0,0,0,0,47,0,0,-52,209,33652,70,33582,11207,22375,0,0,0,0,0,0,0,0,0,0,15864,15513,0,351,51465,50968,17049,33727,1241,361,880,0,0,0,216,28011,4259,0,0,0,192,497,0,497,70,0,0
1964:Q1,51213,1640,1497,55,55,0,0,0,0,88,0,0,-48,500,33223,40,33183,7413,25770,0,0,0,0,0,0,0,0,0,0,15898,15461,0,437,50209,49701,16611,32982,1516,415,1101,0,0,0,174,26792,4500,0,0,0,108,508,0,508,40,0,0
1964:Q2,52476,1745,1633,79,79,0,0,0,0,33,0,0,-47,451,34517,23,34494,5171,29323,0,0,0,0,0,0,0,0,0,0,15810,15461,0,349,51461,50948,16973,33838,1330,391,939,0,0,0,196,27773,4539,0,0,0,137,513,0,513,23,0,0
1964:Q3,53148,1711,1567,93,93,0,0,0,0,51,0,0,-46,554,35009,59,34950,4967,29983,0,0,0,0,0,0,0,0,0,0,15921,15463,0,458,52122,51604,17121,34303,1367,434,933,0,0,0,175,27981,4780,0,0,0,180,518,0,518,59,0,0
1964:Q4,55897,2841,2606,156,156,0,0,0,0,79,0,0,-45,789,36565,59,36506,6044,30462,0,0,0,0,0,0,0,0,0,0,15747,15388,0,359,55474,54950,17850,36225,1586,612,974,0,0,0,269,29838,4532,0,0,0,875,524,0,524,59,0,0
1965:Q1,54311,1353,1114,109,109,0,0,0,0,130,0,0,-48,795,37184,93,37091,6826,30265,0,0,0,0,0,0,0,0,0,0,15027,14563,0,464,53773,53237,17277,35352,1569,702,867,0,0,0,201,28742,4840,0,0,0,608,536,0,536,93,0,0
1965:Q2,55904,2179,1349,646,646,0,0,0,0,184,0,0,-47,723,38703,3,38700,7761,30939,0,0,0,0,0,0,0,0,0,0,14346,13934,0,412,55359,54818,18229,36097,1419,747,672,0,0,0,214,29486,4978,0,0,0,492,541,0,541,3,0,0
1965:Q3,56278,1915,1405,123,123,0,0,0,0,387,0,0,-50,830,39280,11,39269,8396,30873,0,0,0,0,0,0,0,0,0,0,14304,13858,0,446,55727,55183,17797,36990,1656,804,852,0,0,0,233,29731,5370,0,0,0,396,544,0,544,11,0,0
1965:Q4,58063,2583,2248,96,96,0,0,0,0,239,0,0,-49,793,40553,75,40478,9101,31377,0,0,0,0,0,0,0,0,0,0,14184,13733,0,451,57615,57064,18447,38266,1428,760,668,0,0,0,201,31786,4851,0,0,0,351,551,0,551,75,0,0
1966:Q1,56995,1906,1388,579,579,0,0,0,0,-62,0,0,-59,680,40226,30,40196,9237,30959,0,0,0,0,0,0,0,0,0,0,14243,13634,0,609,56416,55856,17941,37676,1486,940,546,0,0,0,341,30379,5470,0,0,0,239,560,0,560,30,0,0
1966:Q2,59116,2365,1957,287,287,0,0,0,0,121,0,0,-60,861,41907,138,41769,10447,31322,0,0,0,0,0,0,0,0,0,0,14043,13433,0,610,58525,57963,18564,39063,1815,1049,766,0,0,0,516,31498,5234,0,0,0,336,562,0,562,138,0,0
1966:Q3,59207,2652,1647,979,979,0,0,0,0,26,0,0,-52,1074,41585,48,41537,15456,26081,0,0,0,0,0,0,0,0,0,0,13948,13258,0,690,58602,58036,18070,39705,2404,1091,1313,0,0,0,393,31078,5830,0,0,0,261,566,0,566,48,0,0
