1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2004:Q1,2314270,72,32833,18410,4897,0,9526,837964,83867,1359534,2314270,2186109,826575,1359534,2186109,128161
2004:Q2,2338157,108,31984,18215,4511,0,9258,848168,85918,1371979,2338157,2206550,834571,1371979,2206550,131607
2004:Q3,2362144,144,32528,17635,5639,0,9254,865714,85806,1377952,2362144,2227517,849565,1377952,2227517,134627
2004:Q4,2396167,212,32465,17041,5753,0,9671,898571,98280,1366639,2396167,2249879,883240,1366639,2249879,146288
2005:Q1,2420313,281,32146,16993,5673,0,9480,889236,98891,1399759,2420313,2271003,871244,1399759,2271003,149310
2005:Q2,2447712,349,32696,17125,5901,0,9670,887722,101220,1425725,2447712,2293203,867478,1425725,2293203,154509
2005:Q3,2477401,417,32639,17422,7136,0,8081,903669,108181,1432495,2477401,2315128,882633,1432495,2315128,162273
2005:Q4,2504258,445,33064,17506,7407,0,8151,933357,112724,1424668,2504258,2336449,911781,1424668,2336449,167809
2006:Q1,2534712,473,33068,17464,7386,0,8218,920664,121189,1459318,2534712,2357714,898396,1459318,2357714,176998
2006:Q2,2556815,501,32719,17404,7267,0,8048,929858,118607,1475130,2556815,2377536,902406,1475130,2377536,179279
2006:Q3,2586424,528,33282,17383,7537,0,8362,946416,125849,1480349,2586424,2398629,918280,1480349,2398629,187795
2006:Q4,2620823,515,34499,17508,7885,0,9106,977452,138402,1469955,2620823,2420268,950313,1469955,2420268,200555
2007:Q1,2648202,501,34939,17587,8077,0,9275,965721,141086,1505955,2648202,2441466,935511,1505955,2441466,206736
2007:Q2,2680781,488,35101,17575,8083,0,9443,956211,152020,1536961,2680781,2463090,926129,1536961,2463090,217691
2007:Q3,2707550,474,35420,18755,8187,0,8478,976406,153972,1541278,2707550,2483971,942693,1541278,2483971,223579
2007:Q4,2728055,507,36294,18824,8504,0,8966,1021890,150810,1518554,2728055,2503517,984963,1518554,2503517,224538
2008:Q1,2738326,540,37819,19267,9437,0,9115,1014865,130873,1554229,2738326,2521788,967559,1554229,2521788,216538
2008:Q2,2760008,573,37002,19046,9094,0,8862,1023849,130299,1568285,2760008,2541899,973614,1568285,2541899,218109
2008:Q3,2768967,605,36980,19557,9323,0,8100,1049743,111551,1570088,2768967,2558651,988563,1570088,2558651,210316
2008:Q4,2769448,808,34944,19351,8519,0,7074,1109503,86818,1537375,2769448,2574120,1036745,1537375,2574120,195328
2009:Q1,2787762,1010,33902,19038,8191,0,6673,1091845,76221,1584784,2787762,2597683,1012899,1584784,2597683,190079
2009:Q2,2830686,1213,32677,16973,8356,0,7348,1098594,93643,1604559,2830686,2623517,1018958,1604559,2623517,207169
2009:Q3,2874606,1415,34730,18608,8365,0,7757,1114918,110745,1612798,2874606,2649867,1037069,1612798,2649867,224739
2009:Q4,2911255,1216,36204,19643,8633,0,7928,1180153,119695,1573987,2911255,2674892,1100905,1573987,2674892,236363
2010:Q1,2970074,1016,36907,19850,8855,0,8202,1164897,127993,1639261,2970074,2724176,1084915,1639261,2724176,245898
2010:Q2,3008877,816,35611,18271,9146,0,8194,1174685,113718,1684047,3008877,2771273,1087226,1684047,2771273,237604
2010:Q3,3076622,617,37381,18754,9727,0,8900,1194808,127807,1716009,3076622,2821788,1105779,1716009,2821788,254834
