date,FA893111305.Q,FA313111303.Q,FA313011303.Q,FA893011105.Q,FA313011105.Q,FA313011203.Q,FA313011303.Q,FA263011105.Q,FA263011205.Q,FA313111303.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,623,623,0,-623,-623,0
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,0,2162,2162,0,-2162,-2162,0
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,0,1531,1531,0,-1531,-1531,0
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,0,164,164,0,-164,-164,0
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,0,-1743,-1743,0,1743,1743,0
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2003:Q1,-3588,0,-3588,-3588,-3588,0,-3588,0,-0,0
2003:Q2,408,0,408,408,408,0,408,0,-0,0
2003:Q3,388,0,388,388,388,0,388,0,-0,0
2003:Q4,388,0,388,388,388,0,388,0,-0,0
2004:Q1,400,0,400,400,400,0,400,0,-0,0
2004:Q2,360,0,360,360,360,0,360,0,-0,0
2004:Q3,392,0,392,392,392,0,392,0,-0,0
2004:Q4,440,0,440,440,440,0,440,0,-0,0
2005:Q1,-6852,0,-6852,-6852,-6852,0,-6852,0,-0,0
2005:Q2,388,0,388,388,388,0,388,0,-0,0
2005:Q3,-11904,0,-11904,-11904,-11904,0,-11904,0,-0,0
2005:Q4,324,0,324,324,324,0,324,0,-0,0
2006:Q1,268,0,268,268,268,0,268,0,-0,0
2006:Q2,204,0,204,204,204,0,204,0,-0,0
2006:Q3,216,0,216,216,216,0,216,0,-0,0
2006:Q4,204,0,204,204,204,0,204,0,-0,0
2007:Q1,172,0,172,172,172,0,172,0,-0,0
2007:Q2,156,0,156,156,156,0,156,0,-0,0
2007:Q3,148,0,148,148,148,0,148,0,-0,0
2007:Q4,140,0,140,140,140,0,140,0,-0,0
2008:Q1,116,0,116,116,116,0,116,0,-0,0
2008:Q2,88,0,88,88,88,0,88,0,-0,0
2008:Q3,120,0,120,120,120,0,120,0,-0,0
2008:Q4,100,0,100,100,100,0,100,0,-0,0
2009:Q1,60,0,60,60,60,0,60,0,-0,0
2009:Q2,32,0,32,32,32,0,32,0,-0,0
2009:Q3,381272,190392,190880,381272,190880,0,190880,190392,-0,190392
2009:Q4,1948,0,1948,1948,1948,0,1948,0,-0,0
2010:Q1,28,0,28,28,28,0,28,0,-0,0
2010:Q2,24,0,24,24,24,0,24,0,-0,0
2010:Q3,32,0,32,32,32,0,32,0,-0,0
2010:Q4,40,0,40,40,40,0,40,0,-0,0
2011:Q1,-7844,0,-7844,-7844,-7844,0,-7844,0,-0,0
2011:Q2,636,0,636,636,636,0,636,0,-0,0
2011:Q3,108,0,108,108,108,0,108,0,-0,0
2011:Q4,92,0,92,92,92,0,92,0,-0,0
2012:Q1,44,0,44,44,44,0,44,0,-0,0
2012:Q2,40,0,40,40,40,0,40,0,-0,0
2012:Q3,40,0,40,40,40,0,40,0,-0,0
2012:Q4,24,0,24,24,24,0,24,0,-0,0
2013:Q1,20,0,20,20,20,0,20,0,-0,0
