1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1973:Q1,10410,10410,400,400,0,0,6087,6087,18415,0,18415,0,43819,0,16232,14459,13128,0,0,0,0,0,2695,2695,0,0,56413,336833,182791,56413,336833,182791
1973:Q2,10410,10410,400,400,0,0,6185,6185,18832,0,18832,0,45006,0,16579,14952,13475,0,0,0,0,0,2634,2634,0,0,63977,342892,183649,63977,342892,183649
1973:Q3,10410,10410,400,400,0,0,6278,6278,19255,0,19255,0,46196,0,16921,15456,13819,0,0,0,0,0,2826,2826,0,0,58614,350592,181165,58614,350592,181165
1973:Q4,11567,11567,400,400,0,0,6376,6376,19681,0,19681,0,47399,0,17253,15970,14176,0,0,0,0,0,2697,2697,0,0,69671,357846,183403,69671,357846,183403
1974:Q1,11567,11567,400,400,0,0,6530,6530,20095,0,20095,0,48618,0,17572,16497,14549,0,0,0,0,0,2791,2791,0,0,70367,365927,189426,70367,365927,189426
1974:Q2,11567,11567,400,400,0,0,6715,6715,20500,0,20500,0,49859,0,17884,17038,14937,0,0,0,0,0,2718,2718,0,0,79538,370813,197457,79538,370813,197457
1974:Q3,11567,11567,400,400,0,0,6908,6908,20915,0,20915,0,51093,0,18188,17588,15317,0,0,0,0,0,2459,2459,0,0,98010,379103,208430,98010,379103,208430
1974:Q4,11652,11652,400,400,0,0,7086,7086,21351,0,21351,0,52293,0,18486,18143,15664,0,0,0,0,0,2670,2670,0,0,92774,386649,213401,92774,386649,213401
1975:Q1,11620,11620,400,400,0,0,7258,7258,21814,0,21814,0,53679,0,18885,18694,16100,0,0,0,0,0,3035,3035,0,0,81634,394746,216751,81634,394746,216751
1975:Q2,11620,11620,500,500,0,0,7431,7431,22309,0,22309,0,55061,0,19254,19255,16552,0,0,0,0,0,3436,3436,0,0,67154,398393,219622,67154,398393,219622
1975:Q3,11599,11599,500,500,0,0,7596,7596,22803,0,22803,0,56611,0,19759,19829,17023,0,0,0,0,0,3431,3431,0,0,72709,406987,229525,72709,406987,229525
1975:Q4,11599,11599,500,500,0,0,7744,7744,23261,0,23261,0,58502,0,20545,20433,17524,0,0,0,0,0,3665,3665,0,0,66095,414606,234407,66095,414606,234407
1976:Q1,11599,11599,500,500,0,0,7902,7902,23818,0,23818,0,60744,0,21318,21210,18216,0,0,0,0,0,3965,3965,0,0,57302,423410,229505,57302,423410,229505
