1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2006:Q2,21704,4108,77690,6170,4345,304,2041,14,1373,654,-3255,0,0,52840,-719,15964,13845,2119,31092,38041,27,41843,15686,26157,27,0,-3856,-4760,904,-6949,-7076,127,-29002
2006:Q3,20121,4194,57753,190,4032,2736,1517,-366,-571,2454,89,0,0,43407,323,5459,7878,-2419,16479,21432,2402,11437,740,10697,-12,0,7605,7443,162,-4953,-4138,-815,-25346
2006:Q4,17105,4277,91086,8781,-1882,-3982,1146,243,-1385,2288,965,0,0,57407,39,28612,24907,3705,42748,45612,-2779,30404,6592,23812,32,0,17955,12541,5414,-2864,-2278,-586,-35510
2007:Q1,14722,5515,5488,2165,2167,502,-2516,-1800,1416,-2132,-1659,0,0,4316,-31,544,-8126,8670,-2682,9303,356,18724,4289,14435,69,0,-9846,-6894,-2952,-11985,-12035,50,1038
2007:Q2,18613,5596,57343,675,8960,-1907,-1506,82,-972,-616,219,0,0,22021,468,28413,28386,27,38548,49269,-1805,41359,4326,37033,430,0,9285,7209,2076,-10721,-9987,-734,-5778
2007:Q3,19808,5687,86164,-5390,18303,-1338,4985,-127,1150,3962,439,0,0,54576,4176,10413,16609,-6196,43709,51528,-1159,32113,11796,20317,20,0,20554,18403,2151,-7819,-8006,187,-28334
2007:Q4,14464,5795,43635,-16059,11198,23,21528,6456,-3007,18079,1704,0,0,11341,677,13223,15376,-2153,64280,62512,90,27808,14571,13237,-189,0,34803,34918,-115,1768,1996,-228,29314
2008:Q1,34834,7217,61937,-4634,13291,-1835,1437,-753,3126,-936,-395,0,0,16561,-287,37799,28307,9492,84974,29778,-2014,27037,-950,27987,-29,0,4784,9058,-4274,55196,51191,4005,50654
2008:Q2,31094,7282,132948,32056,29631,445,23188,5536,15413,2239,1164,0,0,-8082,-3443,57989,52873,5116,175661,117592,272,49291,14560,34731,-65,0,68094,60194,7900,58069,55886,2183,66524
2008:Q3,38319,7291,-68156,-297,-33026,-526,-8386,1836,-11770,1548,-686,0,0,-11716,557,-14076,-4154,-9922,-21972,-46176,-1081,-36185,-14471,-21714,2,0,-8912,-3779,-5133,24204,23858,346,77212
2008:Q4,11449,7024,145637,-9218,55044,-4757,-4454,-10669,9266,-3051,1882,0,0,-2218,2012,107346,103461,3885,259224,66865,-4199,-34882,-38146,3264,13,0,105933,101636,4297,192359,190492,1867,118013
2009:Q1,44287,7369,59022,62957,-18868,290,-20641,-2592,-9837,-8212,-1417,1576,1456,125140,1685,-93156,-92069,-1087,20687,-35458,-17,50658,-22779,73437,1028,0,-87127,-81715,-5412,56145,54394,1751,-1416
2009:Q2,36890,7261,-2086,-9412,14236,5900,4688,6515,720,-2547,-771,1003,1594,15287,-344,-34267,-34871,604,7886,6780,117,1141,-4268,5409,1680,0,3842,1270,2572,1106,1313,-207,39601
2009:Q3,35575,7269,18141,-15678,20352,5167,721,-2884,-35,3640,284,884,3004,55073,774,-52440,-50188,-2252,49890,28746,-192,6884,3734,3150,-2182,0,24236,28294,-4058,21144,20921,223,60055
2009:Q4,43848,7419,-44724,-39226,-11299,8661,1494,1650,1974,-2130,-1590,646,2337,-7169,-52,1474,-13814,15288,-60496,-52322,-68,-27952,5172,-33124,96,0,-24398,-37147,12749,-8174,-8012,-162,20657
2010:Q1,51139,6666,-19031,21576,1446,4199,781,-25,-1772,2578,2394,-1179,2882,4697,683,-56510,-51698,-4812,-28242,-21778,449,-10010,13187,-23197,-40,0,-12177,-7809,-4368,-6464,285,-6749,35263
2010:Q2,50134,6695,41880,13357,-10532,7345,-17531,-782,-457,-16292,1408,-859,3889,50720,2312,-8229,-6511,-1718,-12491,-22610,262,-48221,-10252,-37969,131,0,25218,26416,-1198,10119,6990,3129,-10933
2010:Q3,51371,6839,78754,-43,8599,9329,45088,12225,8015,24848,78,-255,4421,-10441,343,21635,24513,-2878,102498,91258,1060,74585,665,73920,1257,0,14356,8154,6202,11240,11708,-468,68276
2010:Q4,53067,6970,-86626,2118,7876,-19362,-10438,2436,-9049,-3825,836,-93,-151,-23909,415,-43918,-46903,2985,-60338,-59097,-1529,-23841,381,-24222,-215,0,-33512,-29741,-3771,-1241,1181,-2422,72385
2011:Q1,43401,7534,52423,10401,-8113,8951,-332,-3567,1153,2082,8013,3,3005,14579,44,15872,6225,9647,28851,26061,323,6391,8884,-2493,-415,0,19762,14627,5135,2790,3572,-782,12295
