1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q4,7115,4407,970,1248,490,7115,4579,2552,962,1590,-16,7115,220,2,0,97,1,45,19,32,46,4404,4466,0,17,-79,5,1600,87,179,466,355,0,111,0,0,72,0,0,0,0,72,0,-63,0
1966:Q1,6399,3569,974,1346,510,6399,3747,2667,577,2090,-15,6399,-361,5,0,215,44,32,81,58,45,3983,3721,0,16,246,-2,1219,123,190,973,751,0,222,0,0,80,0,0,0,0,80,0,-71,0
1966:Q2,7165,3874,888,1779,624,7165,4054,3126,1131,1995,-15,7165,827,7,0,212,113,3,11,85,47,3836,3871,0,14,-49,0,1277,83,207,660,438,0,222,0,0,84,0,0,0,0,84,0,-75,0
1966:Q3,5648,3040,633,1521,454,5648,3224,2439,964,1475,-15,5648,563,8,0,293,139,49,25,80,43,2806,2913,0,14,-121,0,1056,119,201,485,369,0,116,0,0,134,0,0,0,0,134,0,-60,0
1966:Q4,4465,2470,567,1151,277,4465,2626,1856,908,948,-17,4465,627,6,0,317,151,68,-8,106,40,1831,1884,0,15,-68,3,1044,201,172,435,318,0,117,0,0,147,0,0,0,0,147,0,-358,0
1967:Q1,3436,1605,693,750,388,3436,1798,1651,572,1079,-13,3436,476,1,0,162,135,-62,21,68,34,1152,1136,0,15,1,5,860,80,165,378,205,0,173,0,0,166,0,0,0,0,166,0,-43,0
1967:Q2,5585,2855,833,1344,553,5585,2903,2697,369,2328,-15,5585,385,-2,0,99,126,-34,-8,15,26,3528,3519,0,16,-7,5,657,-15,166,163,-10,0,173,0,0,180,0,0,0,0,180,0,393,0
1967:Q3,7318,4471,947,1347,553,7318,4669,2666,295,2371,-17,7318,533,-2,0,313,178,57,7,71,27,4923,4910,0,16,-3,5,521,83,78,553,401,0,152,0,0,161,0,0,0,0,161,0,123,0
1967:Q4,7290,4427,1067,1325,471,7290,6974,334,-1701,2035,-18,7290,730,1,0,352,232,25,32,63,28,4431,4458,0,14,-41,4,869,24,78,683,530,0,153,0,0,167,0,0,0,0,167,0,-77,0
1968:Q1,5966,3404,662,1294,606,5966,1271,4713,3459,1254,-18,5966,705,89,0,401,286,38,18,59,41,3226,3286,0,5,-65,3,457,8,145,827,643,0,184,0,0,181,0,0,0,0,181,0,-173,56
1968:Q2,7540,4405,765,1606,764,7540,4567,2991,291,2700,-18,7540,447,130,0,351,242,23,21,65,46,4806,4808,0,6,-8,2,448,-41,121,638,458,0,180,0,0,190,0,0,0,0,190,0,302,100
1968:Q3,7669,4508,899,1813,449,7669,4689,2994,606,2388,-14,7669,835,84,0,366,180,100,21,65,51,5178,5204,0,6,-32,2,486,21,6,312,221,0,91,0,0,85,0,0,0,0,85,0,172,71
1968:Q4,8294,4751,1110,2092,341,8294,4900,3410,1039,2371,-16,8294,347,167,0,326,155,103,18,50,54,5320,5317,0,6,-3,1,1068,-4,87,385,323,0,62,0,0,82,0,0,0,0,82,0,340,121
1969:Q1,6635,3872,945,1348,470,6635,4057,2597,970,1627,-19,6635,188,96,0,246,105,112,-12,41,48,4160,4146,0,31,-17,2,407,12,64,713,522,0,191,0,0,90,0,0,0,0,90,0,520,89
1969:Q2,8157,4881,1156,1425,695,8157,5079,3103,-426,3529,-25,8157,-152,176,100,275,112,116,15,32,59,5294,5326,0,45,-77,1,476,-10,49,726,486,0,240,0,0,85,0,0,0,0,85,0,934,144
1969:Q3,7823,4774,1160,1479,410,7823,4956,2879,-193,3072,-12,7823,391,130,100,198,171,-16,0,43,130,4969,5015,0,49,-95,1,510,65,75,1270,1151,0,119,0,0,248,0,0,0,0,248,0,-398,134
1969:Q4,8017,4177,1664,1933,243,8017,4326,3716,925,2791,-25,8017,1430,253,100,251,222,-22,14,37,220,3035,3024,0,43,-32,3,659,82,25,1662,1624,0,38,0,0,255,0,0,0,0,255,0,-249,291
1970:Q1,4503,1815,2192,-101,597,4503,1405,3115,10620,-7505,-17,4503,-694,11,100,87,116,-18,-39,28,426,1092,1372,0,30,-310,8,646,14,75,1668,1549,0,119,0,0,295,15,0,0,0,280,0,480,295
