1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2006:Q4,-100874,-36021,36152,2987,-220,-123584,-7227,-1230,-1977,3040,-8898,3050,15659,4298,21774,5414,-14092,183613,203887,78510,1359,-759,-112693,-4174,-183,844,-11420,12576,6735,4843,2545,-15935,2657,-8177,17896,3897,-2472,3705,-28,-284487
2007:Q1,185089,164304,23472,-3346,539,-28928,18780,-913,415,8547,18642,-5778,7908,-2402,109364,-2952,-122564,249228,166244,69208,4150,-255,-43003,3691,436,-6156,7982,4105,8052,-1420,5102,-15962,2014,8880,-3883,-4020,35376,8670,17,-64139
2007:Q2,274823,60558,23472,5704,-269,93891,6525,-323,-1271,3466,-5478,8999,-1084,-1988,97154,2076,-16609,209836,88188,69185,-6957,617,-2529,3480,2286,7963,-5097,11454,8051,4387,-3241,-36738,302,16804,3798,-1477,49345,27,-11,64986
2007:Q3,90488,82072,23471,-754,457,45149,3992,-1899,-5061,7601,14701,1297,6873,2991,-79899,2151,-12654,289221,111937,69281,6671,-674,60728,8291,-95,10612,-1393,5008,8051,6323,20889,-10163,3752,-4869,7900,1824,-8622,-6196,-34,-198733
2007:Q4,30154,44782,23472,-2198,-2357,-49042,-4470,-8444,260,-12118,-6338,2825,8396,1687,-47712,-115,81526,366517,261635,70240,-228,-241,-1784,-7113,3490,-2109,203,26682,8051,-2241,2402,72635,2992,6229,6021,-589,-77663,-2153,58,-336363
2008:Q1,-131506,-23983,28572,-4823,-845,7288,16716,643,5153,3677,21012,14519,8376,1042,-84098,-4274,-120481,-245124,-234328,8103,-3035,-215,25717,15757,691,-13104,39455,11593,94,-4054,-28842,16671,3733,-14311,7236,1629,-87519,9492,113,113618
2008:Q2,-112894,5859,28572,3510,-584,-82915,-26006,501,-3975,-10825,9973,-6087,1246,-270,-58238,7900,18446,-355936,-246569,8808,-4962,-1066,-24229,-18961,766,9353,1837,-8951,94,-835,-434,-21158,3284,991,11391,437,-70777,5116,-71,243042
2008:Q3,-4098,-7925,28572,-3558,1620,14624,11302,-3747,-3026,9081,-51437,17227,14367,2339,-149934,-5133,121530,-51035,-127896,7950,-4240,-331,55349,10970,-677,6433,39257,16875,94,-8342,-1007,2157,1984,-20632,15408,89,-34629,-9922,75,46937
2008:Q4,235987,234582,28571,4543,-1714,-87465,42555,-1859,3537,-17974,25174,22023,1724,-303,-36979,4297,15274,91090,64292,10219,-5018,255,-52502,-4727,-1767,-8696,3497,60446,94,-15611,1541,119479,1567,-8630,-1108,2375,-78379,3885,-121,144896
2009:Q1,70235,-17996,8162,-5626,795,-42044,-27489,128,15379,15532,-18107,31646,-6558,158,16222,-5412,105445,-84134,-75465,-11820,-6012,8892,-5912,1020,-1065,-2330,26784,4034,6960,-8802,6017,-35016,14588,10538,2102,-4092,-13500,-1087,32,154369
2009:Q2,43155,15510,8162,4713,2015,46368,-38513,-995,200,-9123,-22998,1246,-29587,2394,26566,2572,34625,-57529,-62409,-12871,6347,21972,27972,-467,-946,4842,-33201,-22306,6961,254,-17961,-28109,5022,17571,-11144,-1632,41986,604,-14,100685
2009:Q3,173764,68808,8162,-1569,-198,-5324,7303,5911,-150,5788,13074,19957,-16891,-3667,84362,-4058,-7744,-163028,-109176,-13142,3066,10370,-12277,-7734,-1053,-2347,-27009,3705,6961,706,527,-41853,1839,-22564,4859,934,43395,-2252,17,336792
2009:Q4,126606,31683,8162,5415,-6160,131627,-26609,-1753,-1416,-10447,-34054,9018,-48854,-416,36710,12749,20951,204550,113793,-13276,-2117,8217,53385,2734,-1481,-10275,-17581,-23531,6960,9857,13514,8506,6961,-4345,-7600,-648,46157,15288,32,-77944
2010:Q1,10824,72386,-17547,-4197,-961,-75300,13608,-2792,-7896,17301,12137,-55590,-9672,3579,15291,-4368,54845,-72785,-40575,17623,127,3040,-39905,-306,933,-14062,36808,11142,3539,2738,-14286,-44748,-2163,10140,-16456,1203,17208,-4812,27,83609
