1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q3,30998,7163,2347,0,1878,14963,0,11779,685,2499,0,690,690,0,0,0,3035,456,466,88353,49038,2285,46753,495,3900,34920
1956:Q4,31483,7628,2400,0,1292,15226,0,11988,758,2480,0,721,721,0,0,0,3127,556,533,90392,49862,2180,47682,519,4076,35935
1957:Q1,31357,7558,2584,0,1118,15297,0,12017,815,2465,0,762,762,0,0,0,3095,564,379,92558,50925,2330,48595,576,4262,36795
1957:Q2,31275,8561,2723,0,0,15309,0,12006,829,2474,0,814,814,0,0,0,3083,563,222,94466,51836,2164,49672,578,4451,37601
1957:Q3,31517,6419,2742,0,2242,15169,0,11867,788,2514,0,871,871,0,0,0,3138,560,376,96863,53192,2411,50781,644,4642,38385
1957:Q4,31835,7018,2783,0,1820,14989,0,11660,739,2590,0,923,923,0,0,0,3238,524,540,99128,54369,2355,52014,670,4839,39250
1958:Q1,31483,6644,3433,0,1758,14687,0,11326,695,2666,0,975,975,0,0,0,3108,558,320,101857,55829,2566,53263,721,5042,40265
1958:Q2,31615,7830,4114,0,0,14770,0,11395,670,2705,0,1026,1026,0,0,0,3178,572,125,104494,56972,2450,54522,758,5249,41515
1958:Q3,32052,6112,3735,0,2093,14835,0,11471,641,2723,0,1079,1079,0,0,0,3345,607,246,107416,58513,2748,55765,817,5464,42622
1958:Q4,32458,6808,3589,0,1417,14961,0,11627,597,2737,0,1135,1135,0,0,0,3499,588,461,110040,59819,2770,57049,850,5685,43686
1959:Q1,32686,7908,3589,0,204,15155,0,11848,562,2745,0,1196,1196,0,0,0,3569,576,489,111836,61397,3033,58364,875,5912,43652
1959:Q2,33212,8083,3647,0,0,15485,0,12165,573,2747,0,1263,1263,0,0,0,3686,596,452,113421,62655,2983,59672,938,6139,43689
1959:Q3,33717,7734,3177,0,998,15691,0,12375,578,2738,0,1329,1329,0,0,0,3748,579,461,115498,64594,3544,61050,981,6363,43560
1959:Q4,34627,8479,3179,0,576,16102,0,12842,546,2714,0,1390,1390,0,0,0,3875,554,472,116777,65661,3173,62488,1035,6581,43500
1960:Q1,35452,9070,3348,0,154,16424,0,13200,536,2688,0,1442,1442,0,0,0,3961,590,463,119920,67248,3323,63925,1073,6803,44796
1960:Q2,36163,9042,3748,0,0,16807,0,13511,622,2674,0,1485,1485,0,0,0,4022,590,469,122689,68353,3154,65199,1171,7033,46132
