1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1964:Q4,17842,6324,1047,7261,4259,1265,1331,406,3210,17842,15629,8908,4809,1518,302,92,1239,488,0,0,0,-3,564,0,190,0,974,17842,2101,-45,1105,342,646,53,15741,0,12226,-91,18,187,0,1739,138,61,133,0,483,22,0,979,0,-154,0,0,0
1965:Q1,8747,1080,1677,5697,3556,806,803,532,293,8747,9678,3367,3691,2109,452,59,-2024,-578,0,0,0,-104,-507,0,-835,0,1093,8747,148,501,-872,-284,753,50,8599,0,5848,56,18,107,4,1294,141,71,151,0,-193,52,0,1088,0,-38,0,0,0
1965:Q2,22355,6605,3873,7279,4438,916,1215,710,4598,22355,17937,9432,4101,3152,1120,132,4088,839,0,0,0,-27,1845,0,1431,0,330,22355,1930,407,632,167,676,48,20425,0,14325,-71,19,459,6,1180,256,1070,168,0,1269,54,0,1670,0,20,0,0,0
1965:Q3,9586,-591,644,7385,4713,943,1216,513,2148,9586,10774,6738,1392,2179,401,64,-1180,216,0,0,0,129,507,0,-2032,0,-8,9586,822,279,6,8,484,45,8764,0,5810,127,19,252,7,1208,123,178,178,0,481,67,0,486,0,-172,0,0,0
1965:Q4,22129,8529,3387,7115,4407,970,1248,490,3098,22129,17912,9196,6508,1886,264,58,3671,195,0,0,0,207,1473,0,1796,0,546,22129,3335,742,1183,370,994,46,18794,0,14151,-280,17,199,5,1717,87,-4,179,0,567,72,0,1518,0,566,0,0,0
1966:Q1,6552,-1399,1945,6399,3569,974,1346,510,-393,6552,8686,2646,2421,3396,177,46,-2477,-310,0,0,0,-98,-811,0,-1258,0,343,6552,-680,-526,-1049,-339,1189,45,7232,0,3421,62,16,75,-2,1402,123,23,190,0,937,80,0,754,0,151,0,0,0
1966:Q2,24550,9403,4873,7165,3874,888,1779,624,3109,24550,20679,9516,6096,3199,1781,87,3434,1096,0,0,0,-238,1200,0,1376,0,437,24550,3323,1874,626,129,647,47,21227,0,14757,-18,14,406,0,1589,83,1088,207,0,2081,84,0,770,0,166,0,0,0
1966:Q3,4237,-2847,652,5648,3040,633,1521,454,784,4237,6706,3728,1243,1526,-88,297,-2325,392,0,0,0,401,-1510,0,-1608,0,-144,4237,1715,642,-331,-105,1466,43,2522,0,215,140,14,294,0,1540,119,100,201,0,982,134,0,-819,0,-398,0,0,0
1966:Q4,15374,6119,2357,4465,2470,567,1151,277,2433,15374,12583,6300,4011,1564,511,197,2280,-240,0,0,0,-298,489,0,2329,0,511,15374,2961,1101,951,263,606,40,12413,0,8115,264,15,209,3,1504,201,42,172,0,133,147,0,1563,0,45,0,0,0
1967:Q1,220,-2841,1699,3436,1605,693,750,388,-2074,220,2644,-261,1516,1833,-454,10,-3505,-1760,0,0,0,-47,-1789,0,91,0,1081,220,1181,914,-1002,-334,1569,34,-961,0,-1871,103,15,-22,5,1139,80,-52,165,0,-1064,166,0,-154,0,529,0,0,0
