1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q4,138605,41857,10661,7291,519,58,3163,-370,44570,13373,93482,51366,34999,749,91,15527,42116,0,172,37556,0,2360,0,2028,0,3266,5213064,1140869
1975:Q1,253233,64461,11659,7895,421,80,3640,-377,52006,-796,200461,65951,57267,543,73,8068,134510,0,90317,32298,0,5131,0,6764,0,-11689,5466296,1160434
1975:Q2,233263,55543,13530,9215,406,76,4211,-377,58743,16730,171962,59823,49954,350,59,9460,112139,0,66880,34896,0,4796,0,5566,0,5759,5699560,1228887
1975:Q3,-4542,55979,16175,10178,410,76,5886,-374,60176,20372,-63621,-3914,-9869,88,46,5821,-59707,0,-74347,21208,0,-4457,0,-2111,0,3100,5695018,1233647
1975:Q4,166908,61499,17440,10455,423,79,6851,-366,67820,23761,103613,39944,31416,107,32,8390,63669,0,35939,23060,0,2137,0,2533,0,1797,5861926,1264165
1976:Q1,200232,59359,18978,10888,447,90,7907,-354,49159,8778,146089,29191,22840,215,24,6113,116898,0,82253,25685,0,4641,0,4319,0,-5216,6062158,1293610
1976:Q2,176658,53450,19069,11050,465,93,7804,-341,61133,26752,128649,65926,60913,112,77,4824,62723,0,14749,47286,0,720,0,-32,0,-5441,6238816,1311899
1976:Q3,115777,50948,19003,10660,497,95,8080,-329,57105,25160,70713,31806,26064,167,58,5517,38907,0,8330,31170,0,-558,0,-35,0,-5884,6354593,1342259
1976:Q4,168073,67189,22211,13200,538,98,8692,-317,73112,28134,110585,49137,40264,218,65,8590,61448,0,20571,39760,0,788,0,328,0,-9701,6522667,1372140
1977:Q1,109080,60778,23979,14290,477,123,9391,-301,53848,17049,47755,62613,55044,136,25,7409,-14857,0,-51774,42102,0,-2679,0,-2506,0,547,6631747,1400016
1977:Q2,179276,35850,27245,17163,492,124,9762,-296,47339,38733,142971,85503,81123,117,48,4214,57469,0,17849,37339,0,2214,0,67,0,455,6811023,1437330
